epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.0781463340147217,0.26651295641970246,1.0736034005435544,0.19287384812078842
1,0.001,0.8610541206687244,0.48183760547442084,0.8015373233538955,0.5169360437063237
2,0.001,0.7236685530463262,0.5570328945243893,0.7081881548041729,0.507560865783936
3,0.001,0.6246870880696311,0.597983618012083,0.5094494312556822,0.6809032379332134
4,0.001,0.5460500116668531,0.612441376628381,0.4709941931624911,0.684591201070303
5,0.001,0.4935965667020029,0.6315340310831395,0.3900315356788351,0.725712018664776
6,0.001,0.4182435963580857,0.6812383477487933,0.33750828833722357,0.7499894643877169
7,0.001,0.40324146222712387,0.6756301194610153,0.3408233945939078,0.7465913380175819
8,0.001,0.3591609468210989,0.6995249737697291,0.28294172260298656,0.7741512054737857
9,0.001,0.3492081943732589,0.6932743007665346,0.29185017987863343,0.7676740922677351
10,0.001,0.33058345117675725,0.6970570488984156,0.30215150073393066,0.7713157051792064
11,0.001,0.3289208341000685,0.6953594383994123,0.25409741010238873,0.7718666720701787
12,0.001,0.29911066124688335,0.7198624989032097,0.2749331090877305,0.7671130159035464
13,0.001,0.2982199541223583,0.731056781223935,0.21734135920432077,0.8054371330528903
14,0.001,0.31414293086350853,0.6990798941176568,0.26368302284781614,0.7682807157810674
15,0.001,0.280665245741161,0.7286816690306198,0.21761945023465512,0.8065047493021223
16,0.001,0.26776694695451364,0.7469318417728157,0.2270736727696746,0.8034157866634154
17,0.001,0.2813731907908596,0.7318852789346695,0.21563931054143765,0.7967493718645473
18,0.001,0.276242928718453,0.7295569920755445,0.2354302317348879,0.7972338124250314
19,0.001,0.25812028526370207,0.7574972086484646,0.20564276447047047,0.8176142123995156
20,0.001,0.25329768301835703,0.7556897756646458,0.23829831383121547,0.8032050547865147
21,0.001,0.2420551120790083,0.7653546782329311,0.19973578693261787,0.8162571551855705
22,0.001,0.2706001129612994,0.7363070795935003,0.246477296992914,0.7742561071454052
23,0.001,0.27366438196666204,0.736720333185912,0.20035229667798796,0.8165863278461709
24,0.001,0.23948274041289713,0.7630650469823838,0.1925960374412252,0.8229443414140145
25,0.001,0.2572073287038661,0.7465339615020554,0.2199732031839997,0.806835761804809
26,0.001,0.24754730845565226,0.7535698233152457,0.1987127957504187,0.8191001553935611
27,0.001,0.2328119022187902,0.770805134241415,0.19032451376986148,0.8232646623776865
28,0.001,0.2291816920042038,0.7751935117432307,0.18844042206878092,0.8201827942569658
29,0.001,0.24337441463079026,0.7581390484146202,0.1863253098815235,0.821458940762725
30,0.001,0.23222196880561202,0.7680449025850279,0.18953448000238904,0.8187516433288702
31,0.001,0.22585433721542358,0.7740165532661512,0.18534507791497815,0.8253753430926456
32,0.001,0.2459094694523669,0.7566131980320012,0.20994349513480912,0.8103487121768504
33,0.001,0.23071060696644569,0.7709695892142163,0.17744426785120324,0.828464375962302
34,0.001,0.2238827302162327,0.7746682611679793,0.18364521371784495,0.8233896362230859
35,0.001,0.21758577294314085,0.7811589909459903,0.18447029190276987,0.8257025134859519
36,0.001,0.24013317921268407,0.751290347429624,0.18097471167792134,0.8296085362290727
